Date,Open,High,Low,Close,Volume
2024-03-07,16.76,17.08,16.3,16.4,31561138.0
2024-03-08,16.6,16.84,16.46,16.62,26124081.0
2024-03-11,16.64,17.14,16.52,17.06,31905327.0
2024-03-12,17.2,17.4,16.88,17.24,39377200.0
2024-03-13,17.3,17.8,17.14,17.18,39486071.0
2024-03-14,17.2,17.26,16.7,16.78,33142764.0
2024-03-15,16.66,16.94,16.4,16.86,26663023.0
2024-03-18,16.86,17.18,16.52,17.02,44037852.0
2024-03-19,16.86,16.98,16.56,16.62,22955109.0
2024-03-20,16.7,16.98,16.62,16.66,14634850.0
2024-03-21,16.98,17.12,16.58,16.72,30434685.0
2024-03-22,16.68,16.72,15.66,15.8,74861354.0
2024-03-25,15.8,15.86,15.36,15.5,36015150.0
2024-03-26,15.6,15.76,15.36,15.4,16643480.0
2024-03-27,15.5,15.54,14.88,14.92,45057995.0
2024-03-28,15.06,15.48,15.0,15.16,22918959.0
2024-04-02,15.2,15.42,15.06,15.24,26945510.0
2024-04-03,15.5,15.8,15.16,15.16,31007143.0
2024-04-05,15.2,15.3,14.64,14.92,9064338.0
2024-04-08,15.02,15.02,14.36,14.52,48223740.0
2024-04-09,14.52,15.04,14.52,14.98,25284874.0
2024-04-10,14.88,15.2,14.7,14.7,27371560.0
2024-04-11,14.58,14.76,14.28,14.44,48284277.0
2024-04-12,14.5,14.5,14.16,14.18,24937700.0
2024-04-15,14.12,14.74,14.1,14.52,30176064.0
2024-04-16,14.48,14.5,14.02,14.02,29593617.0
2024-04-17,14.02,14.3,14.02,14.18,18641070.0
2024-04-18,14.24,14.6,14.04,14.52,21057210.0
2024-04-19,14.32,14.44,14.16,14.32,17427630.0
2024-04-22,14.48,14.62,14.16,14.24,25059904.0
2024-04-23,14.38,14.42,14.16,14.34,16214396.0
2024-04-24,14.4,14.94,14.26,14.86,40644713.0
2024-04-25,14.8,15.36,14.76,15.1,34346454.0
2024-04-26,15.16,15.76,15.14,15.54,38683554.0
2024-04-29,15.7,16.12,15.6,15.72,41060481.0
2024-04-30,15.8,15.9,15.38,15.52,26005937.0
2024-05-02,15.6,15.84,15.28,15.84,10312176.0
2024-05-03,16.2,16.3,15.8,16.0,15972247.0
2024-05-06,16.02,16.14,15.76,16.0,24895157.0
2024-05-07,16.0,16.0,15.62,15.74,21148355.0
2024-05-08,15.72,15.82,15.28,15.3,25365324.0
2024-05-09,15.36,16.18,15.36,16.02,43172155.0
2024-05-10,16.44,16.44,15.96,16.26,66962354.0
2024-05-13,16.18,16.46,15.8,16.4,31809013.0
2024-05-14,16.4,16.78,16.3,16.3,30040591.0
2024-05-16,16.26,16.82,16.06,16.62,48473770.0
2024-05-17,16.7,16.94,16.5,16.84,39480856.0
2024-05-20,16.86,16.98,16.64,16.7,31704573.0
2024-05-21,16.72,16.82,15.98,16.04,35558766.0
2024-05-22,16.1,16.36,15.98,16.08,31802217.0
2024-05-23,16.08,16.12,15.58,15.6,28373434.0
2024-05-24,15.52,15.8,15.3,15.34,19819685.0
2024-05-27,15.58,16.58,15.58,16.48,72866504.0
2024-05-28,16.86,16.98,16.2,16.28,64965737.0
